metric,value,unit,system,source_path,source_field,evidence_grade,evidence_type,hardware,batch_size,sample_count,timing_scope,data_loading,warm_up,precision_mode,software_environment,comparability,limitations
parameter_elements,4011391,tensor elements,stage2,runs/phase04_cb_focal_full/full__stage02_isic2019_efficientnet_b0_class_balanced_focal_loss_seed42__20260726T064808Z/best_checkpoint.pt,model_state_dict excluding standard BatchNorm buffers,C,static artifact measurement,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,Parameter count from state dictionary; no model instantiated.
checkpoint_size,48625369,bytes,stage2,runs/phase04_cb_focal_full/full__stage02_isic2019_efficientnet_b0_class_balanced_focal_loss_seed42__20260726T064808Z/best_checkpoint.pt,filesystem size,C,static artifact measurement,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,"Contains training state; not RAM, VRAM or deployment binary size."
FLOPs_or_MACs,unavailable,unavailable,flat,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
FLOPs_or_MACs,unavailable,unavailable,hierarchical,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
peak_GPU_memory,unavailable,unavailable,flat,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
peak_GPU_memory,unavailable,unavailable,hierarchical,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
CPU_memory,unavailable,unavailable,flat,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
CPU_memory,unavailable,unavailable,hierarchical,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
energy_use,unavailable,unavailable,flat,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
energy_use,unavailable,unavailable,hierarchical,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
power_draw,unavailable,unavailable,flat,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
power_draw,unavailable,unavailable,hierarchical,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
model_loading_time,unavailable,unavailable,flat,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
model_loading_time,unavailable,unavailable,hierarchical,none,none,U,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,evidence unavailable,No defensible stored measurement.
